PO_Number,Date,Vendor_Name,Description,Quantity
100319-01,10/3/2019,GENERAL  SURFACE  HARDENING,MATERIAL  : 420 SS BARS  LOT OF RANDOM LENGTHS | 2.00  In Dia x43  long 1 ea 1 ea | 2.00 in Diam x 9.1/4 in long 3 ea 3 ea | Quench and Temper to 30 Rc +/- 2 | NO CERTS!,4
100319-02,10/3/2019,GENERAL  SURFACE  HARDENING,MATERIAL  : 4140 AN | 8769015  ROLLER 253 ea | Quench and Temper to 45 -51 Rc | Certification required please!,253
100323-01,10/3/2023,MEXICALI HARD CHROME Co,MATERIAL  : 4150 PH | L804132 TIE BAR  (3.543 Rd x 89.015 Long) | Chrome Plate .001 +/- .0002 Wall,2
100417-05,10/4/2017,GENERAL  SURFACE  HARDENING,RUSH PLEASE FOR ALL BUSHINGS | MATERIAL  : 1026  (2.75 OD 2.375 ID x 4.3/16 Long) | P/N  625W1703  BUSHING | CARBURIZED  ALL OVER TO 58  - 62 Rc | 1/64 th MIN  DEEPTH  UP TO 1/32 DEEP | NO CERTS!,10
100418-01,10/4/2018,BODYCOTE,MATERIAL  :H13 already q+t TO 45 Rc | P/N  9W306202 3 ea | ION NITRIDE .01 to .015 in  DEEP CASE HV 1100  ( max possible 70 Rc or over ) | Masking per dwg 9W306202   Yellow marked areas (Both ends and the key ) | NO CERTS!,3
100422-01,10/4/2022,Rockford Heat Treaters,MATERIAL  :H13 QT TO 43-48 Rc 4ea | P/N N124500 PLUNGER SLEEVE | PARTS ARE QUENCH AND TEMPERED  @ 43-48 Rc | GAS Nitride Harden to 65 Rc at .008 min  to .016  in deep | NO CERTS JUST THE DELIVERY TICKET WITH THE TESTING RESULTS,4
100424-01,10/4/2024,GENERAL  SURFACE  HARDENING,"Call: 773.545.9790 (Option #2) | MATERIAL  : 1045 AN | P/N 7069195 HOOK, TOW PIN REV- C 360 ea | Quench and temper to   230 - 283 BH | CERTIFICATION REQUIRED | DELIVER TO: Skild Plating - 1516-18 N. Kilpatrick Ave.",360
100516-00,10/5/2016,GENERAL  SURFACE  HARDENING,MATERIAL  :H13 | P/N  9W306305 GUIDE  PIN | Straightening within .005 after heat treatement 10 ea | this is for PO 092916-02 | No certs,10
100517-01,10/5/2017,GENERAL  SURFACE  HARDENING,ONE MORE RUSH PLEASE !!! | MATERIAL  :H13 | P/N  9W306207 4ea  LINK PIN 9W306208 4ea | HARDEN   to 44-48 Rc 8 ea | No certs,8
100520-01,10/5/2020,GENERAL  SURFACE  HARDENING,MATERIAL  :8620 AN | P/N  8349811 FOLLOWER  (REPEAT JOB) | CASE HARDENING ALL OVER .075 to .100 deep TO RC 60 350 ea | CORE SHOULD BE MINIMUM 20 Rc | CERTIFICATION REQUIRED PLEASE!,350
100523-01,10/5/2023,GENERAL  SURFACE  HARDENING,MATERIAL  : 4140 AN | P/N  TML0026  LINK PIN 4.0 Rd x 23.5 5 ea | P/N  TMR0009   LINK PIN 2.3/8 x 7.6 2 ea | Quench and temper to   56 Rc   +/- 2 | No certs,7
100524-03,10/5/2024,GENERAL  SURFACE  HARDENING,MATERIAL  : 4140 AN | P/N 442S3502 THREADED SHAFT 2ea | Quench and temper to   43   +/-  3  Rc | No certs/Please call if they are not in the spec,2
100524-03,10/5/2024,GENERAL  SURFACE  HARDENING,MATERIAL  : 4140 AN | P/N 442S3502 THREADED SHAFT 2ea | Quench and temper to   43   +/-  3  Rc | No certs/Please call if they are not in the spec,2
100620-01,10/6/2020,PRECISE ROTARY DIE,P/N 9X814701 SHAFT | MATERIAL : 4140 AN 1 ea | PLEASE HARDEN FIRST TO 45-50 RC | GRIND AFTER HEAT TRETMENT | OD 1.1795 /1.1787 1.1790 +/-.0003,1
100620-02,10/6/2020,PRECISE ROTARY DIE,P/N 680V6801 SHAFT | MATERIAL : 4140  28-32 Rc 1 ea | OD GRINDING ONLY | (1.5733 / 1.5724 )                           1.5728 +/- .0004   @ 0.8 TEXTURE,1
100620-03,10/6/2020,PRECISE ROTARY DIE,P/N 9W306201 LINK PIN | MATERIAL : H13 -45 Rc (HEAT TREATED ALREADY) 2 ea | OD 40f6 (1.7538 // 1.5735 // 1.5732 @ 0.8 texture       ( 1.5735 +/- .0003 ) 60/ea,2
100621-09,10/6/2021,DELTA GRINDING,12384928 SLEEVE | Need OD Grinding  TO  1.3128 // 1.3123  (half way 1.3125 ) 216 ea | ID Grounding or Honing to 1.128 // 1.1270  (half way 1.1275) | Note:,216
100622-01,10/6/2022,Automatic Anodizing,"P/N 10895736 NECK FUEL | Material -Alloy 355-356 140 +127 | Finish : CHEMICAL FILM PER MIL-DTL-5541  ,CLASS 1 | Certification required | NEED CERTIFICATION PLEASE !",
100623-01,10/6/2023,PRECISE ROTARY DIE,P/N N064799 SHAFT | MATERIAL : 4140  56Rc | 4 step grinding ALL  @ 3.2 Texture | OD  25e7 .9827 //.9823//.982)  @ 3.2Texture Price /ea 100/ea | OD 40e7  (1.5728 // 1.5723 // 1.5720 ) PLEASE CLEAN THE FLANGE .001 | OD 30h6  ( 1.1810  // 1.1808 // 1.1806 )  PLESE CLEAN THE FLANGE  BOTH SIDES .001 | 48 MM 1.189  +/- .002,
100716-01,10/7/2016,PRECISE ROTARY DIE,N070781 PISTON (REPEAT ) | MATERIAL  CAST IRON 1 ea | 2 OD GRIINDINGS | 240e7 (9.4448 / 9.4431)  MID DIM   [9.4440] | 150e7 (5.9022 / 5.9006) MID DIM [5.9015] 350/ea,1
100717-01,10/7/2017,PRECISE ROTARY DIE,P/N 611T1501 | MATERIAL :1045 AN 1ea | OD 160  -.014/-.039 (159.986 /159.961)   (6.2986 // 6.2977)   6.2980   +/- .0003 at 3.2 Texture | ID  105.12 //105.16 (4.1400 // 4.1385 )   .001 Conc w OD   4.1390   +/- .0005 AT 0.8 Texture 140/ea | Please don't touch shoulder when grinding OD | PLEASE INDICATE OD,1
100719-01,10/7/2019,PRECISE ROTARY DIE,P/N 9W306202 LINK PIN | MATERIAL : H13 - 45 Rc 3ea | OD 40f6 (1.7538 // 1.5735 // 1.5732 @ 0.8 texture       ( 1.5735 +/- .0003 ) 50/ea,3
100719-01,10/7/2019,Skild Plating Co.,Material 303 SS | P/N  LS1150282-DISK | FINIS  : FINISH 5.4.1 of MIL-STD-171 | CERT REQUIRED PLEASE,55
100720-01,10/7/2020,PRECISE ROTARY DIE,P/N 9W306301 LINK PIN | MATERIAL : H13 -45 Rc 4 ea | OD 75f6 (2.9516 // 2.9512 //2.9508 ) @ 0.8 texture       ( 2.9512 +/- .0004 ) 80/ea,4
100724-01,10/7/2024,DELTA GRINDING,442S1208 PIN - (NOW @ 1.785 OD) | OD  44.95 +/-.01 MM | Need GRINDING TO  1.7700 /1.7693 2 ea | 442S1215 /442S1216 PIN  (NOW @ 1.985 OD) | OD 49.95 +/-.01 MM | Need GRINDING TO  1.9669 / 1.9661 2 + 2 ea,6
100820-01,10/8/2020,Rockford Heat Treaters,MATERIAL  :4140 28-32 Rc | P/N 609T1001 BUSHING (16 ea) 16 ea | PARTS ARE QUENCH AND TEMPERED  @ 28-32 Rc  now | Nitride Harden to MAX  if  possible (65 Rc at .01  to .015 in deep) | NO CERTS JUST THE DELIVERY TICKET WITH THE TESTING RESULTS,16
100824-01,10/8/2024,DELTA GRINDING,442S3502 -THREADED SHAFT  WITH HEAD | OD  54.95 +/-.01 MM | Need GRINDING TO  2.1637 // 2.1629 2 ea,2
100824-01,10/8/2024,Skild Plating Co.,Material  304 SS | P/N LS1124579 CONNECTOR | FINIS  : PASSIVATION   PER 5.4.1 OF MIL-STD-171 | CERT REQUIRED PLEASE,515
100917-02,10/9/2017,PRECISE ROTARY DIE,P/N N054085 SLEEVE | MATERIAL : 4140 PH 1 ea | 3 step grinding | ID 45H9  (1.7740 // 1.7730 // 1.7720)  @ 0.8 Texture 150 / ea | ID 130H7  (5.1195 //5.1190 // 5.1185 )  @ 0.8 Texture  0.0002 CONCENTRIC WITH 45H9 | OD 185g6 (7.2829 // 7.2825 // 7.2820 )  @ 0.4 Texture,1
100920-01,10/9/2020,BODYCOTE,MATERIAL  :H13 already q+t TO 45 Rc | P/N  9W306301 (2.95 X16) 30 Lbs ea 120 Lbs for 4ea 4 ea | P/N 9W306201 (1.575x11) 6.5 Lbs ea 13  Lbs for 2 ea 4 ea | ION NITRIDE .008 /.012 DEEP CASE HV 1100 ( 67Rc ) | Masking per dwg 9W306301 Yellow marked areas (Both ends and the key ) | also Masking per DWD 9W306201 (Yellow Mark both ends) | NO CERTS!,6
101017-01,10/10/2017,PRECISE ROTARY DIE,9W306305 PIN  (REAPEAT) | MATERIAL  H13 -45 Rc 9 ea | 100f6 (3.9355 //3.9350 //3.9347 ) WITHIN .001 CONCENTRIC WITH THE SLOT) | 3.9350  +/- .0003 100/ea,9
101020-01,10/10/2020,PRECISE ROTARY DIE,P/N N045969  PISTON | MATERIAL : 4140 AN 1 ea | 3 STEP  OD GRINDING | 85e7  ( 3.3436 // 3.3429 // 3.3422 ) 3.3429 +/- .0005 125/ea | 25e7  ( .9817 // .9813 // .9810 ) .9813 +/- .0003 | 24.9 /24.8  (.980  / .977 )   X 4.51 FROMM SMALL END .9785   +/- .001,1
101022-01,10/10/2022,"NOVA CHROME Inc,",P/N 8211686 DAMPER  (AS LAST TIME IN 2021) | MATERIAL: COPPER C11000 | FINISH 1.2.1.2. PER MIL-STD-171 | PLATING .00002 to .00005 IN  THICK | NO INTERMEDIAT COATING BEFORE PLATING 412 ea | I know the C bore will not plate on the inside (that is acceptable) | CERTIFICATION REQUIRED,412
101024-01,10/10/2024,"Expert Metal Finishing, Inc",Please Call when ready (773.545.9790 option 1) Thank You | P/N 7269307 SHOULDER PLUNGERS 1110 ea | PROTECTIV FINISH : | 5.3.1.2 of MIL-STD-171 | CERT REQUIRED,1110
101024-01,10/10/2024,DELTA GRINDING,"7269307 PLUNGER | Need OD Grinding  BETWEEN .279 - .278 | ONLY FOR CLEANUP, DON'T NEED PERFECT CLEANUP, ONLY SIZE",1140
101116-01,10/10/2016,PRECISE ROTARY DIE,P/N Y060388 SHAFT (2 step OD grinding) | MATERIAL : 1018 3 ea | 28e7 (1.1008 // 1.1004 // 1.1000 ) | 20e7 (.7858 // .7854  //  .7850 ) (ONLY 85 MM  = 3.350 IN FROM END) 75/ea,3
101116-02,10/11/2016,PRECISE ROTARY DIE,N070781 PISTON (REPEAT ) | MATERIAL  CAST IRON 1 ea | 2 OD GRIINDINGS | 240e7 (9.4448 / 9.4431)  MID DIM   [9.4440] | 150e7 (5.9022 / 5.9006) MID DIM [5.9015] 350/ea,1
101118-01,10/11/2018,GENERAL  SURFACE  HARDENING,MATERIAL  : 4130 AN | P/N  N066879 POPPET | CASE HARDEN TO 56 Rc (+/-2)  1/16 to .5/64  (.06 to .08    DEEP per side 2 ea | ONLY ON THE BIG DIAM AND THE BIG CHAMFER AND RADIUS DOWN TO THE SHAFT | PLEASE TEST HARDNESS ON THE BIG DIAMETER | NO CERTIFICATION,2
101118-02,10/11/2018,GENERAL  SURFACE  HARDENING,MATERIAL :1045 AN (NOTE I AM NOT SURE MATERIAL IT IS ANNALED) | P/N  H325459 (PLEASE CK THE HARDNESS FIRST ) | QUENCH AND TEMPER TO 28Rc      +/- 2 Rc) | NO CERTS (Thank you),1
101122-01,10/11/2022,PRECISE ROTARY DIE,MATERIAL  : 1020 | ID Grinding to 1.7500 / 1.7510 1.7505  +/- .0005 30 /ea | Please keep 1.7505  if possible | Please use soft jaws for the 2.748 Diam or grab the flange if possible | and please indicate under .001 running  Thank you,10
101218-01,10/12/2018,PRECISE ROTARY DIE,P/N Y022701 | MATERIAL :SPROCKET 2ea | CUT 14 MM  key  PER DWG 75 /ea,2
101220-01,10/12/2020,DELTA GRINDING,8349574 SHAFT | Now at .625 in diam | Need OD Grinding  TO .561 /.560 in 252 ea,252
101222-01,10/12/2022,"Expert Metal Finishing, Inc","P/N :1550306-7 RING-GASKET RETAIN | MATERIAL  1117 | Finish: PHOSPHATE TYPE M, CLASS 1  per MIL -P-16232 | ALSO :FINISH COAT ALL OVER WITH DRYING TYPE PRESERVATIVE OIL | SO THAT ALL SURFACES SHAL SUSTAIN A 48 HOUR MIN SALT SPRAY TEST | (Please sign the certs) | CERTIFICATION REQUIRED",291
101223-02,10/12/2023,DELTA GRINDING,TMN0026   LINK PIN 5ea | MATERIAL  : 4140  50/56 Rc | 100f6 3.9356 // 3.9347 0.8 G  Texture 3.9352 +/- .0004 5ea | 60f6 2.3610 // 2.3603 0.8 G  Texture 2.3606+/- .0003 2 ea,7
101316-01,10/13/2016,ATOMOWELD INC,MATERIAL  :4140 HEAT TREATED 28 Rc | Both materials are heat treated | please weld 5 mm (little more than 3/16 outside where the 3 dots are) 1 ea | please fill up the groove at the end of the shaft,1
101317-01,10/12/2017,DELTA GRINDING,Y157511 EJECTO ROD 6ea | Need OD Grinding  TO 1.102 / 1.098 IN DIAM   (1.100 +/- .001),6
101317-03,10/13/2017,"Expert Metal Finishing, Inc",P/N :12364289-HOLDER | MATERIAL 4140  -26-35 Rc | CERTIFICATION REQUIRED,927
101320-01,10/13/2020,"NOVA CHROME Inc,",N045969 -PISTON ROD | LOCAL  HARD CHROME ON THE SMALL DIAM ONLY OF 25e7  (PER PRINT ) 1 ea | About .00045 /.00065 thick per wall | No certs,1
101321-01,10/13/2021,"Expert Metal Finishing, Inc","P/N :10925992 NUT | MATERIAL  1045  -20-25 Rc | Finish: PHOSPHATE TYPE M, CLASS 3  per MIL -P-16232 | (Please sign the certs) | CERTIFICATION REQUIRED",25
101321-01,10/13/2021,PRECISE ROTARY DIE,P/N 478R0901 | MATERIAL : 4140 PH 30 Rc 2ea | PLEASE LOCAL HARDEN TO MIN 48 Rc THE  SMALL DIAM (1.59 ) BEFORE GRINDING | OD GRINDING  79.98 //79.97 mm (3.1488 // 3.1484 )          3.1486 +/- .0002 | OD GR 39.99 // 39.98 mm (1.5744 // 1.5740 )                          1.5742 +/- .0002,2
101321-02,10/13/2021,"Expert Metal Finishing, Inc","P/N :10925988 SCREW REMOVER | MATERIAL  1045  -20-25 Rc | Finish: PHOSPHATE TYPE M, CLASS 3  per MIL -P-16232 | (Please sign the certs) | CERTIFICATION REQUIRED",28
101416-01,10/14/2016,PRECISE ROTARY DIE,P/N N019729 SHAFT (4 step OD Grinding) | MATERIAL : 4140 PH 1ea | 35f7 (1.3770 // 1.3765 // 1.3760) | 30js6 (1.1814 // 1.1811 // 1.1808 ) | 25js6 (.9845 // .9843 // .9840 ) | 12h7 (.4724 // .4721 // .4717 ),1
101419-01,10/14/2019,"NOVA CHROME Inc,",MATERIAL  :N086440 POPPET | .0002  to .0004    HARD CHROME LOCALLY ONLY PER PRINT | ONLY THE SHAFT 1.575 MM | No certs,2
101419-01,10/14/2019,DELTA GRINDING,PLEASE RUSH | 8769015 ROLLER | Need OD Grinding  TO  1.250 / 1.249  (63 texture) 253 ea | ID     .875 /.874  (63 texture) | OD and ID are concentric now (DWG asks for .001 TIR),253
101419-02,10/14/2019,ATOMOWELD INC,MATERIAL  :1018  anf A36 | ARM FOR WELDING | 1/8 welding all black marks 1 ea | also LEVEL with the surface as much possible on the little insert top side,1
101421-01,10/14/2021,PRECISE ROTARY DIE,P/N 9X814704 | MATERIAL : 4140 PH AN | PLEASE HARDEN ALL OVER TO MIN 48 Rc  BEFORE GRINDING | 9X814805 SHAFT (1ea)  1.19 X  4.23 | OD GRINDING  29.96 //29.94 mm (  1.1795 // 1.1787)                      1.1791  +/- .0004   (1ea) 50/ea x1 | 9X8148704 1ea  1.59 x 4.646 and 9X814806 1.59 x 6.811 (2ea) | OD GRINDING  39.96 //39.94 mm (  1.5732 // 1.5724)                      1.5728  +/- .0004   (3ea) 60/ea x3,3
101421-01,10/14/2021,"NOVA CHROME Inc,",P/N 8211686 DAMPER  (AS LAST TIME IN 2017) | MATERIAL: COPPER C11000 | FINISH 1.2.1.2. PER MIL-STD-171 | PLATING .00002 to .00005 IN  THICK | NO INTERMEDIAT COATING BEFORE PLATING 273 ea | CERTIFICATION REQUIRED,273
101422-01,10/14/2022,"Expert Metal Finishing, Inc",P/N :10895595 RETAINER | MATERIAL  1020 | Finish: BLACK OXIDE 3.3.1.1 per MIL-STD-171 | (Please sign the certs) | CERTIFICATION REQUIRED,10
101423-01,10/14/2023,PRECISE ROTARY DIE,P/N N014109 PISTON | MATERIAL : 4140 -PH 1ea | 150e7  (5.9022 // 5.9014 // 5.9006  ) 0.4 G texture OD   5.9015  IN  +/- .0005 | 80e7  (3.1462 // 3.1457 // 3.1451 ) 0.4 G texture 3.1462   -.0005 | NO SIDE TOUCH (ALREADY IN SIZE ) | Remove sharp corners & burs to max .01,1
101424-01,10/14/2024,HOPKINS MACHINE CORP,"MATERIAL  :4150 PH | P/N  L804132 TIE BAR 1 ea | COMPLETE PER PRINT WITH -.003 /-.004  in FOR THE CHROME PLATED ""W"" AREA | 160e7 DIMENSION 2 pl | DWG IS ASKING FOR 10 microns plating",1
101520-01,10/15/2020,PRECISE ROTARY DIE,P/N 609T1001 BUSHING FINAL | MATERIAL : 4140 - 50  Rc 16 ea | ID 75F7  ((2.9539 // 2.9533 // 2.9528) ID 2.9533 +/- .0005 35/ea | OD 90p6 ( 3.5456 //3.5452 // 3.5448  ) OD 3.5452 +/- .0004,16
101524-01,10/15/2024,PRECISE ROTARY DIE,P/N TMM1298 | MATERIAL : 4140  30 Rc 2 ea | OD  50f7 ( -.025/-.050) 0.8 Texture (1.9675 //1.9670 // 1.9665) 1.9670 +/- .0005 | 50g6 (-.009/-.025) 3.2 Texture (1.9681 // 1.9678 // 1.9675) 1.9678 +/- .0005,2
101524-02,10/15/2024,GENERAL  SURFACE  HARDENING,"Call: 773.545.9790 (Option #2) | MATERIAL  : 4340 AN | P/N 11450720 SHAFT ,INTERLOCK FITTING 127 ea | HEAT TREAT TO 180 -200 KSI  (43-43 Rc) | CERTIFICATION REQUIRED",127
101618-01,10/16/2018,PRECISE ROTARY DIE,P/N N050619 COUPLING (HALF) | MATERIAL :4140 PH 2ea | CUT TO GET ONE PCS AT 2.025 AND ONE AT 5.560 75 /ea | PLEASE MAKE SURE TO USE MARKED SIDE | (ON THE .984 IN SIDE TO CENTER OF THE HOLE),2
101619-01,10/16/2019,GENERAL  SURFACE  HARDENING,MATERIAL  : 4130 AN | P/N  6R893601 PISTON | CASE HARDENING ALL OVER  MIN   1/16 DEEP TO Rc 56 3 ea | Please test on the 1.625 Diam  not on the ends (DO not grind to deep please) | NO CERTS!,3
101623-01,10/16/2023,GENERAL  SURFACE  HARDENING,MATERIAL  :H13 | P/N  9W306305 LINK PIN | Harden to 45  +/- 2 Rc 2 ea | No certs,2
101717-01,10/17/2017,PRECISE ROTARY DIE,P/N 9W306303 GUIDE PIN | MATERIAL : H13 -45 Rc 9 ea | OD 75f6 (2.9516 // 2.9512 //2.9508 ) @0.8 texture ( 2.9512 +/- .0004 ) 75 / ea,9
101717-02,10/17/2017,PRECISE ROTARY DIE,P/N 625W1701 BUSHING MODIFICATION | MATERIAL : 4130 60 Rc 2 ea | LOWER FROM 116 mm to 115  OD ONLY | OD 115P6  (4.5264 // 4.5260 // 4.5255 OD 4.5260  +/- .0005 25/ea | ID 100F7  (3.9398 // 3.9390 // 3.9384 ) ID 3.9390 +/- .0005,2
101719-01,10/17/2019,PRECISE ROTARY DIE,P/N N008960 PISTON | MATERIAL : 4140 PH  28 Rc 1 ea | 2 STEP  OD GRINDING | 100e7  (3.9342 // 3.9335 // 3.9328) 3.9335 +/- .0005 125/ea | 30e7 (1.1795 // 1.1791 // 1.1787) 1.1791 +/- .0004 | ******PLEASE CLEAN SHARP EDGES IN THE GROOVES FOR 100e7 dia ****,1
101719-02,10/17/2019,PRECISE ROTARY DIE,P/N 323T7802 SLEEVE | MATERIAL : 4140 ph 1 ea | 160g6  ( 6.2987 // 6.2982 // 6.2977 ) 6.2982 +/- .0005 125/ea | PLEASE KEEP THE SHARP CORNER SAFE FROM 60 MM dim (2.363 )and the ID | ****Please clean sharp edges on the OD GROOVES****,1
101724-01,10/17/2024,PRECISE ROTARY DIE,P/N N031938 SHAFT | MATERIAL : 4140  30 Rc 1 ea | 45js6  (1.7720 // 1.7717 // 1.7713)                                1.1717 +/- .0003 | 30js6 (1.1814 // 1.1811 // 1.808) 1.1811 +/- .0003 | 35js6 (1.3783 // 1.3780 //1.3776) 1.3780 +/- .0003 | 28js6 (1.1026 // 1.1024 //1.1021) 1.1024 +/- .0002,1
101724-01,10/17/2024,Skild Plating Co.,Material  A36 | P/N  CHG21215 WRENCH | Finish:BLACK OXIDE | No Certs,2
101724-02,10/17/2024,PRECISE ROTARY DIE,RUSH | MATERIAL  : 4140 -28 Rc | N072617 SEAT 1ea | ALL CONCENTRIC WITHIN .0004 in  (Please reference OD for ID Grinding) | 80H8mm (ID) (3.1514 // 3.1505 // 3.1496) 3.1505 +/- .0005 | 70H8mm (ID) (2.7577 // 2.7568 // 2.7559)  @.0004 CONCENTRICITY 2.7568 +/- .0005 | 135g6 mm (OD )(5.3144 // 5.3140 // 5.3134 )                                5.3140 +/- .0004  OD 150/ea | PLEASE FILE THE CORNERS MAX .005   after grinding,1
101724-03,10/17/2024,PRECISE ROTARY DIE,P/N 640R4902 | MATERIAL : 4140 28 Rc 1 ea | 1 step grinding | 85h7 (3.3455 //3.3445 ) 0.8 texture 3.3455/3.3445 125  ea | 80 mm +.2 /0  (3.157 //3.150)     STEP 2 ENDS                   3.154 +/- .003,125
101724-04,10/17/2024,PRECISE ROTARY DIE,MATERIAL  : 1018 | Y033616 SHFT 2 ea | PLEASE DO NOT CHANGE THE SMALL  CENTER ON THE  .590 Diam  END | 30js6 (2 pl) (1.1814 // 1.1808) 1.1811 +/-.0003 80/ea | 20m6 (.7882 // .7877) .7880 +/- .0002,2
101818-01,10/18/2018,DELTA GRINDING,Need OD Grinding  TO 1.6530 /1.6510,14
101819-01,10/18/2019,PRECISE ROTARY DIE,P/N 8769015 BUSHING | MATERIAL : 4140 ph 250 ea | GRIND THE BACK OR THE PART TO MEASURE .993/.994,250
101819-02,10/17/2019,PRECISE ROTARY DIE,P/N N008961 GUIDE | MATERIAL :  CAST IRON 1 ea | 2 STEP  OD  and ID GRINDING | 100H7 (3.9384 // 3.9377 // 3.9370 3.9377 +/- .0005 150/ea | 160g6 (6.2987 // 6.2982 // 6.2977 6.2982 +/- .0005 | ******PLEASE CLEAN SHARP EDGES IN THE GROOVES FOR 160g6 dia ****,1
101821-01,10/18/2021,"J&C Engineering Inc,",N015168 STOPPER | MATERIAL :A36 1ea | Weld 3/16    3 sides and 3/8 -10 MM One side,1
101822-01,10/18/2022,PRECISE ROTARY DIE,MATERIAL  :A36 | H303744 PLATE 1 ea | NOW AT 1.600 ( ABOUT .012  FROM EACH SIDE) PLEASE GRIND .012 in TOP SIDE 1st | GRIND TO 1.5748  /1.5733   @ 0.8 RA (Surface Texture) | Final dimension 1.5740 +.0008 / -.0007,1
101822-01,10/18/2022,"NOVA CHROME Inc,",P/N 8211784 DAMPER  (AS LAST TIME IN 2021) | MATERIAL: COPPER C11000 | FINISH 1.2.1.2. PER MIL-STD-171 | PLATING .00002 to .00005 IN  THICK | NO INTERMEDIAT COATING BEFORE PLATING 400 ea | I know the C bore will not plate on the inside (that is acceptable) | CERTIFICATION REQUIRED,400
101823-01,10/18/2023,"NOVA CHROME Inc,",MATERIAL  :N014109 PISTON | PARTIAL HARD CHROME  .0004/0.0005 Wall 1 ea | ONLY ON THE 80 MM DIAM  BETWEEN HEAD AND THREAD | NOTE : M12x 1.75  THREAD AT THE PISTON HEAD for mounting | No certs,1
101824-01,10/18/2024,Skild Plating Co.,"Material  1045 | P/N  7069195  HOOK,TOW,PIN Rev-C | Finish:  ZINC PLATE TYPE II, CLASS 2, SPEC QQ-Z-325 | High protection chromate for min salt spray 96 hours | CERT REQUIRED PLEASE",360
101824-03,10/18/2024,GENERAL  SURFACE  HARDENING,"Call: 773.545.9790 (Option #2) | MATERIAL  : 4140 | P/N 8710628 BOLT, FLUID PASSAGE 270 ea | QUENCH AND TEMPER TO  32 - 38 RC | CERTIFICATION REQUIRED",270
101916-01,10/19/2016,PRECISE ROTARY DIE,9W306305 PIN  (REAPEAT) | MATERIAL  H13 -45 Rc 5 ea | 1 STEP (Please pre grind to 3.945 first to be able to correct the centers if needed) | 100f6 (3.9355 //3.9350 //3.9347 ) WITHIN .001 CONCENTRIC WITH THE SLOT),5
101917-02,10/19/2017,DELTA GRINDING,9W331104 4 ea | Need OD Grinding  TO 1.7705 / 1.7700,4
101922-01,10/19/2022,DELTA GRINDING,408S3406  BUSHING | Need OD Grinding  TO   (2.1655 // 2.1650),12
102023-01,10/20/2023,DELTA GRINDING,P/N 12548781 NUT | MATERIAL  : C630 Copper Bz | .9215 +/- .001 Close to shoulder 63 Texture .9225/.9205 500 ea,500
102116-01,10/21/2016,ATOMOWELD INC,MATERIAL  :1018 | ARM FOR WELDING | 3/16 minimum   intrerupted welding - 3 ea | for Bushing 1/8 minimum  continuous welding with screws centered in to the  holes,3
102122-01,10/21/2022,GENERAL  SURFACE  HARDENING,P/N 2531543 PIN | MATERIAL 4140 AN | Quench and Temper to 40-45 Rc 130 ea | Magnetic particle Inspection if possible check for crack seams or laps | if not possible please ignore it (will find a lab) | Certification Required,130
102124-01,10/21/2024,PRECISE ROTARY DIE,P/N  N076372 PISTON ROD 2 ea | OD 35e7 (1.3760 // 1.3755 // 1.3750)                                                 1.3755 +/- .0005 100/ea | OD 18e7 ( .7064 // .7060 //.7057) .7060 +/- .0003 | OD 17.5 /17.6 mm x 3.86 ( .689 /.6920)                                                .690 +/- .001,2
102124-02,10/21/2024,PRECISE ROTARY DIE,P/N N071871 GUIDE | MATERIAL : CAST IRON 2 ea | OD GRINDING ONLY | 55g6 OD (2.1650 //2.1646 //2.1642 )                       2.1646 +/- .0004 | CONCENTRIC WITHIN .001 WITH 18mm (.709 ID) | Please brake corners .005/.01 in for all grooves),2
102218-01,10/22/2018,PRECISE ROTARY DIE,MATERIAL  :A36 | BOTH SIDES GRINDING TO 1.575 +/- .001  @ 0.8 TEXTURE 125/ea | ABOUT .012 per side,2
102218-02,10/22/2018,PRECISE ROTARY DIE,"P/N N066879 POPPET | MATERIAL : 4130  56Rc CASE HARDEN 1 ea | 3 step grinding | ID 105H8  (4.1360 // 4.1350//4.1340)  @ 3.2Texture 150 / ea | OD 35e7  (1.3760 // 1.3755 // 1.3750 )  @ 0.8 Texture | OD 124.90/124.88 (4.9173 //4.9170// 4.9165 )  @ 0.4 Texture  0.0002 CONCENTRIC | PLEASE INDICATE  OD  FOR  ""0"" | RUSH please",1
102218-02,10/22/2018,PRECISE ROTARY DIE,"P/N N066879 POPPET | MATERIAL : 4130  56Rc CASE HARDEN 1 ea | 3 step grinding | ID 105H8  (4.1360 // 4.1350//4.1340)  @ 3.2Texture 150 / ea | OD 35e7  (1.3760 // 1.3755 // 1.3750 )  @ 0.8 Texture | OD 124.90/124.88 (4.9173 //4.9170// 4.9165 )  @ 0.4 Texture  0.0002 CONCENTRIC | PLEASE INDICATE  OD  FOR  ""0"" | RUSH please",1
102220-01,10/22/2020,GENERAL  SURFACE  HARDENING,MATERIAL  : 420 SS BARS  LOT OF RANDOM LENGTHS | 1.75  rd In Dia x 22.5  long 1 ea 1 ea | Quench and Temper to 30 Rc +/- 2 | NO CERTS!,5
102220-01,10/22/2020,DELTA GRINDING,388W4512 ROD | Need OD Grinding  TO 1.6530 /1.6500,4
102222-01,10/22/2022,GENERAL  SURFACE  HARDENING,P/N 601V4201 PLATE | MATERIAL 4140 AN | Quench and Temper to 40-45 Rc 2 ea | NO CERTS,2
